名詞,判定,TF-IDF値,出現回数,重み,連結回数
com,0,0.3111209819,1,3.6,0
etrobo,0,0.3111209819,1,7.2,1
etrobocon,0,0.3111209819,1,10.8,0
github,0,0.3111209819,1,7.2,0
https,0,0.3111209819,1,6,0
wg,0,0.5,1,2.4,1
アクティビティ,0,0.5516914125,1,8.4,0
アドバンストクラス,1,0.3228920561,3,10.8,0
アドバンストクラス,1,0.3183976308,3,10.8,0
アドバンストクラス,1,0.3155366307,3,10.8,0
あり,0,0.3082887689,1,2.2,0
ある,0,0.5297774366,3,2.2,0
ある,0,0.3255924618,3,2.2,0
ある,0,0.3065308378,3,2.2,0
いずれ,0,0.3867284475,3,3.3,0
いずれ,0,0.3377849268,3,3.3,0
いずれ,0,0.3363070671,3,3.3,0
いたし,0,0.5,1,3.3,0
いる,0,0.5021287985,4,2.2,2
いる,0,0.4985951882,4,2.2,2
いる,0,0.3060182938,4,2.2,2
いる,0,0.3034639717,4,2.2,2
エリア,1,0.4452281524,1,3.6,4
カラーブロック,1,0.5377507448,3,8.2,0
カラーブロック,1,0.4975602407,3,8.2,0
カラーブロック,1,0.3543204352,3,8.2,0
ガレージ,1,0.4403208682,1,4.6,1
ガレージ方向,0,0.3411281659,1,8.6,0
クラス,1,0.3777209753,1,3.6,9
クラス共通,0,0.465413804,2,7.6,1
クラス共通,0,0.3667658527,2,7.6,1
クラス別,0,0.4695372392,1,5.6,0
ゲートライン,1,0.5872137201,2,7,0
ゲートライン,1,0.4402552152,2,7,0
ゲーム,0,0.3051009569,1,3.4,0
コース,1,0.6116971243,2,3.4,5
コース,1,0.5743737278,2,3.4,5
コース画像,0,0.3752199908,1,7.4,0
コース上,0,0.4402552152,2,5.4,0
コース上,0,0.416369129,2,5.4,0
コース全景,0,0.3264425671,1,7.4,0
ゴール,1,0.3843397499,1,3.4,1
ゴールゲート,1,0.4854090938,1,6.8,0
こと,0,0.396390687,3,2.2,0
こと,0,0.3798879413,3,2.2,0
こと,0,0.3133147373,3,2.2,0
この上限,0,0.666340156,1,6.2,0
この様子,0,0.6770395991,2,6.2,0
この様子,0,0.6038109187,2,6.2,0
これ,0,0.4738663095,2,2.2,1
これ,0,0.3673569258,2,2.2,1
これら,0,0.4755747734,1,3.3,0
され,0,0.4563967119,3,2.2,0
され,0,0.3095425398,3,2.2,0
され,0,0.3048286771,3,2.2,0
サンプル,0,0.3752199908,1,4.8,0
シングルビンゴ,1,0.3506061988,1,8.4,0
スタート,0,0.5142208944,1,4.6,10
スタートエリア,1,0.5499889029,4,8.2,0
スタートエリア,1,0.5066932748,4,8.2,0
スタートエリア,1,0.3633927648,4,8.2,0
スタートエリア,1,0.3441207196,4,8.2,0
スタートライン,1,0.5499889029,2,8.2,1
スタートライン,1,0.5088571422,2,8.2,1
スタートライン手前,0,0.4417325494,1,12.2,0
スタート位置,0,0.3342774317,1,8.6,0
スタート準備走行,0,0.5659747433,1,12.6,0
スタート成立後,0,0.6249891332,1,10.6,0
すべて,0,0.5083962485,1,3.3,0
スポンサー看板,0,0.3116018571,1,9.8,0
スラローム,0,0.3777209753,1,5.8,0
する,0,0.3254147602,3,2.2,0
する,0,0.3251813711,3,2.2,0
する,0,0.3030624614,3,2.2,0
その時間帯,0,0.4494022038,1,8.2,0
その他,0,0.5571634047,1,4.2,1
その他禁止事項,0,0.4879397538,1,12.2,0
ソフトウェア,0,0.4552744091,1,7.2,2
それぞれ,0,0.3265534959,1,4.4,2
それぞれ個別,0,0.38869066,1,8.4,0
ターン,0,0.6637765828,3,3.4,0
ターン,0,0.4024415423,3,3.4,0
ターン,0,0.3577595275,3,3.4,0
タイミング,0,0.3007054702,1,6,0
タイム,1,0.4100684623,2,3.6,14
タイム,1,0.3851502071,2,3.6,14
ダブルビンゴ,1,0.3506061988,1,7.2,0
ため,0,0.3457737992,1,2.2,0
とき,0,0.3881531567,2,2.2,0
とき,0,0.365168499,2,2.2,0
どちら,0,0.3509441021,1,3.3,0
トリプルビンゴ,1,0.3506061988,1,8.4,0
なる,0,0.369536407,3,2.2,3
なる,0,0.3255924618,3,2.2,3
なる,0,0.3023266433,3,2.2,3
ナンバー黒ブロック,1,0.3732691789,4,11.4,0
ナンバー黒ブロック,1,0.3248332111,4,11.4,0
ナンバー黒ブロック,1,0.3159940441,4,11.4,0
ナンバー黒ブロック,1,0.3048634024,4,11.4,0
ビンゴ,1,0.4786672299,2,3.6,4
ビンゴ,1,0.3230916272,2,3.6,4
フルビンゴ,1,0.3506061988,1,6,0
ブロック,1,0.4622460606,5,4.8,12
ブロック,1,0.4156771282,5,4.8,12
ブロック,1,0.386239268,5,4.8,12
ブロック,1,0.376058673,5,4.8,12
ブロック,1,0.3722928682,5,4.8,12
ブロックサークル,1,0.5265164862,2,9.4,0
ブロックサークル,1,0.5048436118,2,9.4,0
ブロック搬入,0,0.5996180904,1,8.8,0
ボーナス,1,0.5996180904,1,4.6,6
ボーナスサークル,1,0.5150720026,1,9.2,0
ボーナスタイム,1,0.6395153527,3,8.2,1
ボーナスタイム,1,0.6310732614,3,8.2,1
ボーナスタイム,1,0.3697022317,3,8.2,1
ボーナスタイム獲得,0,0.4424650723,1,12.2,0
ボーナスブロック,1,0.7638089308,1,9.4,0
マイナス,0,0.4449900051,1,4.8,0
もっ,0,0.5142208944,1,2.2,0
モデル,0,0.4489188128,1,3.6,0
もの,0,0.3673569258,1,2.2,0
よう設計,0,0.3194245805,1,6.2,0
よう注意,0,0.3986411424,1,6.2,0
リザルトタイム,1,0.6116149648,4,8.4,1
リザルトタイム,1,0.5322733435,4,8.4,1
リザルトタイム,1,0.3970224812,4,8.4,1
リザルトタイム,1,0.340085424,4,8.4,1
リザルトタイム確定,0,0.3831050395,1,12.4,0
扱い,0,0.3810333686,1,3.1,0
案内,0,0.3543628812,1,4,0
以下,0,0.4416848403,3,4,0
以下,0,0.3452551552,3,4,0
以下,0,0.3398800743,3,4,0
位置,0,0.3143574032,1,4,1
異なる,0,0.3138762043,2,4.2,0
異なる,0,0.3000124542,2,4.2,0
移動,0,0.3051009569,1,4,1
移動先,0,0.3051009569,1,6,0
一致,0,0.4633626905,1,4,0
