etロボコン2020シミュレータ
etロボコン2020ロゴ
etロボコンキャラクターロゴ
アドバンストクラス
アドバンストクラス難所
ガレージ
シングルビンゴ
スタートエリア
スタートライン
ダブルビンゴ
トリプルビンゴ
ナンバーボーナスサ
ナンバー黒ブロック,8
ナンバー黒ブロック判定方法
ナンバー黒ブロック数字
ナンバー黒ブロック添付数字
フルビンゴ
ブロックサークル
ブロックサークル番号
ブロックサークル色
ブロックビンゴ2020
ブロックビンゴ2020エリア
ブロックビンゴ2020エリア形状
ブロック移動先
プライマリークラス難所
ボーナスタイム
ボーナスタイム獲得対象成立事項
マイナスタイム
リザルトタイム
中間ゲートゲートライン
参加チーム
参加チームクラス
大会開催地名産品
数字カードボーナスサークル
数字カード置き場白部分
数字カード黒ブロック,8
時点走行タイム
構成要素名称
照明環境
競技アドバンストクラス固有
緑色ブロックサークル
走行タイム
走行タイムーボーナスタイム
走行タイム計測方法
走行体ソフトウェア
黄計8個ブロック,10
