etロボコン2020シミュレータ
etロボコン2020ロゴ
etロボコンキャラクターロゴ
lコースゴールゲート
lコーススタートエリア
lコース中間ゲート1
rコーススタートエリア
アドバンストクラス
アドバンストクラス難所
カラーブロック色
ガレージ
ガレージ方向
シングルビンゴ
スタートエリア
スタートライン
ダブルビンゴ
トリプルビンゴ
ナンバーボーナスサ
ナンバー黒ブロック,8
ナンバー黒ブロック判定方法
ナンバー黒ブロック数字
ナンバー黒ブロック添付数字
フルビンゴ
ブロックサークル
ブロックサークル番号
ブロックサークル色
ブロックビンゴ2020
ブロックビンゴ2020エリア
ブロックビンゴ2020エリア形状
ブロック円柱中心軸
プライマリークラス難所
ボーナスタイム
ボーナスタイム獲得対象成立事項
マイナスタイム
リザルトタイム
中間ゲートゲートライン
交点サークル円中心
参加チーム
参加チームクラス
大会開催地名産品
数字カードボーナスサークル
数字カード置き場白部分
数字カード黒ブロック,8
方向自コースゴールゲートゲートライン
方向自コーススタートライン
時点走行タイム
構成要素名称
照明環境
競技アドバンストクラス固有
緑色ブロックサークル
走行タイム
走行タイムーボーナスタイム
走行タイム計測方法
走行体ソフトウェア
黄計8個ブロック,10
